lon,lat,bu_ac
-97.141999,41.250093,213.6707
-97.141984,41.250098,186.385
-97.141966,41.250103,151.167
-97.141959,41.250107,151.3183
-97.14195600000001,41.250108000000004,102.3192
-97.141966,41.250104,54.7298
-97.14198,41.250099,17.7633
-97.141964,41.250122999999995,142.5794
-97.14195699999999,41.25014,228.6278
-97.14195500000001,41.250155,153.4722
-97.141953,41.250166,92.59700000000001
-97.142077,41.250121,181.2966
-97.14210600000001,41.250119,204.2933
-97.142134,41.250116999999996,262.9391
-97.14216400000001,41.250116,210.6529
-97.142195,41.250115,201.42
-97.14222600000001,41.250113,190.6687
-97.142258,41.250113,194.0527
-97.142287,41.250112,169.6368
-97.14231,41.250111,240.0905
-97.142336,41.250111,218.4901
-97.142363,41.25011,265.629
-97.142394,41.25011,211.8295
-97.142426,41.250109,185.94799999999998
-97.142457,41.250109,173.9114
-97.142488,41.250108000000004,174.3849
-97.142521,41.250108000000004,193.5537
-97.142554,41.250108000000004,189.8102
-97.142586,41.250107,185.9089
-97.142619,41.250106,200.1134
-97.142652,41.250105,183.3565
-97.142685,41.250105,178.7369
-97.142719,41.250104,194.8916
-97.14275500000001,41.250104,180.1948
-97.14279,41.250104,180.9149
-97.142825,41.250102000000005,186.4501
-97.14286,41.250101,184.5111
-97.142896,41.250101,182.6882
-97.142932,41.2501,189.2535
-97.142967,41.2501,182.1463
-97.14300300000001,41.250099,178.5485
-97.143039,41.250098,173.1174
-97.143075,41.250098,199.2441
-97.143112,41.250097,184.7584
-97.143148,41.250097,197.0368
-97.14318399999999,41.250096,210.4309
-97.14322,41.250095,193.4995
-97.14325600000001,41.250095,194.2251
-97.143292,41.250093,211.5697
-97.143328,41.250093,185.6689
-97.143364,41.250091999999995,207.2568
-97.1434,41.25009,193.3345
-97.143436,41.25009,201.2001
-97.143473,41.25009,200.1175
-97.143509,41.250089,181.774
-97.14354399999999,41.250088,199.2586
-97.14358,41.250088,172.8897
-97.14361600000001,41.250085999999996,188.9428
-97.143652,41.250085999999996,187.8272
-97.143688,41.250085,199.7486
-97.143723,41.250084,207.2473
-97.143759,41.250083000000004,206.8905
-97.143795,41.250083000000004,176.5302
-97.14383000000001,41.250083000000004,165.2261
-97.143867,41.250082,187.8068
-97.14390300000001,41.250082,170.9091
-97.143937,41.25008,181.8717
-97.143973,41.250079,192.8327
-97.144008,41.250078,190.1134
-97.14404300000001,41.250078,191.5686
-97.14407800000001,41.250077000000005,187.94400000000002
-97.144114,41.250075,189.3655
-97.14415,41.250075,193.8071
-97.144185,41.250074,205.2386
-97.14421999999999,41.250073,197.8942
-97.144255,41.250071999999996,202.4567
-97.14429100000001,41.250071999999996,183.2921
-97.144327,41.250071000000005,189.2667
-97.144363,41.25007,186.4327
-97.14439899999999,41.25007,183.3943
-97.144435,41.250069,186.207
-97.144471,41.250067,171.1889
-97.14450699999999,41.250068,168.2477
-97.144545,41.250068,163.341
-97.14458,41.250067,177.5455
-97.144615,41.250066,175.7884
-97.14465,41.250065,184.3697
-97.144685,41.250064,187.3824
-97.14472099999999,41.250064,195.7269
-97.144756,41.250063,198.0507
-97.144791,41.250063,210.6108
-97.144827,41.250060999999995,185.9206
-97.144863,41.25006,187.6271
-97.144898,41.25006,185.9772
-97.144933,41.250058,186.6266
-97.144968,41.250057,191.4087
-97.145004,41.250056,191.5506
-97.145039,41.250056,194.68200000000002
-97.145075,41.250056,197.2817
-97.14511,41.250054999999996,187.1504
-97.145145,41.250056,181.8208
-97.14518100000001,41.250057,191.4887
-97.145217,41.250058,185.4703
-97.145252,41.250058,191.5744
-97.145287,41.250062,217.2173
-97.145323,41.250062,176.8856
-97.145358,41.250062,166.0022
-97.145393,41.250062,146.1584
-97.14542900000001,41.250062,159.8343
-97.145465,41.250060999999995,159.2337
-97.1455,41.25006,146.2844
-97.14553599999999,41.250058,130.3655
-97.14556999999999,41.250057,143.132
-97.145606,41.250058,141.1018
-97.145641,41.250058,155.8674
-97.145675,41.250057,169.66099999999997
-97.145711,41.250056,171.8059
-97.145746,41.250054999999996,166.1032
-97.145781,41.250054,184.6853
-97.145816,41.250054999999996,195.0271
-97.145852,41.250056,197.0726
-97.145888,41.250057,207.4702
-97.145924,41.250057,197.9301
-97.14595899999999,41.250058,209.1223
-97.145995,41.250059,197.4079
-97.14603100000001,41.250059,195.2334
-97.146066,41.25006,184.9568
-97.146101,41.25006,180.0521
-97.146136,41.25006,187.8353
-97.146171,41.25006,192.4625
-97.14620699999999,41.250059,190.4603
-97.146241,41.250059,204.4665
-97.146275,41.250058,214.2328
-97.146309,41.250057,202.7373
-97.146343,41.250057,195.9433
-97.146377,41.250056,211.2094
-97.146411,41.250056,205.8132
-97.146446,41.250054999999996,181.4698
-97.14648000000001,41.250054,171.2473
-97.146513,41.250053,176.8812
-97.146547,41.250051,189.8327
-97.146582,41.250049,189.858
-97.14661600000001,41.250046999999995,198.6759
-97.146649,41.250045,194.9913
-97.146684,41.250044,181.6582
-97.146718,41.250042,199.8129
-97.146752,41.250040999999996,182.7941
